longitude,latitude,const_scale,built_year,orginal_level,present_level,exist_dis,assecss_dis,building_type
129.4301594,42.89890846,2932.82,2011,6,6,0,1,town house
129.4268507,42.89781672,576.76,2011,6,6,0,1,town house
129.4294186,42.89889737,3896.63,2011,6,6,0,1,town house
129.4282987,42.89950184,5525.82,2011,6,6,0,1,town house
129.4260608,42.89780306,659.51,2011,6,6,0,1,town house
129.4281565,42.89820328,4809.72,2011,6,6,0,1,town house
129.4272375,42.89818382,2742.04,2011,6,6,0,1,town house
129.4289269,42.89964215,4310.45,2011,6,6,0,1,town house
129.4305128,42.89805284,5263.31,2011,6,6,0,1,town house
129.4281902,42.89790485,4809.72,2011,6,6,0,1,town house
129.4272721,42.89767225,2742.04,2011,6,6,0,1,town house
129.4275854,42.89863529,2527.64,2011,6,6,0,1,town house
129.4310491,42.89763014,3480.42,2011,6,6,0,1,town house
129.4259717,42.89752447,826.01,2011,6,6,0,1,town house
129.428675,42.90015172,6489.92,2011,6,6,0,1,town house
129.4268226,42.89812524,570.76,2011,6,6,0,1,town house
129.4294201,42.9000927,40696.98,2011,6,6,0,1,town house
129.4294288,42.89850948,246,2011,6,6,0,1,town house
129.4291319,42.89846052,65,2011,6,6,0,1,town house
129.4272745,42.89738391,2809.42,2011,0,6,0,2,town house
129.4302709,42.89941143,6604.51,2011,6,6,0,1,town house
129.4296694,42.89803615,5263.3,2011,6,6,0,1,town house
129.4264165,42.89753415,826.01,2011,6,6,0,1,town house
129.4264435,42.89789009,689.71,2011,6,6,0,1,town house
129.428412,42.89866288,4809.72,2011,6,6,0,1,town house
129.429415,42.90059182,9314.14,2011,6,6,0,1,town house
129.4284398,42.89918183,4355.18,2011,6,6,0,1,town house
129.4272811,42.89788899,2742.04,2011,6,6,0,1,town house
129.4401097,42.90108819,5548.01,2011,6,6,0,1,town house
129.4408247,42.90019664,7488.01,2011,6,6,0,1,town house
129.4400685,42.90163352,7267.01,2011,6,6,0,1,town house
129.4396538,42.90202817,7261.01,2011,6,6,0,1,town house
129.440139,42.90018418,5005.01,2011,6,6,0,1,town house
129.4408863,42.90075857,6016.01,2011,6,6,0,1,town house
129.4407882,42.90132584,11052.01,2011,6,6,0,1,town house
129.4401379,42.90064636,5548.01,2011,6,6,0,1,town house
129.425499,42.89733026,691.61,2011,0,6,0,2,town house
129.4299448,42.89987677,5447.62,2011,6,6,0,1,town house
129.5012946,42.87567612,1396.5,2000,6,6,0,1,town house
129.479046,42.898729,8298.76,2000,0,6,0,2,town house
129.480058,42.898373,8052.34,2000,0,6,0,2,town house
129.480033,42.898777,8015.46,2000,0,6,0,2,town house
129.478192,42.898697,7145.62,2000,0,6,0,2,town house
129.478046,42.8983,8625.64,2000,0,6,0,2,town house
129.479059,42.898332,8205.67,2000,0,6,0,2,town house
129.491067,42.919134,6474.98,2000,6,6,0,1,town house
129.492378,42.918427,8239,2000,6,6,0,1,town house
129.491088,42.918687,7005.84,2000,6,6,0,1,town house
129.491984,42.919477,7350,2000,6,6,0,1,town house
129.5270125,42.89150741,3178.9,1990,0,6,1,2,town house
129.5278295,42.89246076,2846.4,1990,0,6,1,2,town house
129.5270447,42.89192676,2865,1990,0,6,1,2,town house
129.5271005,42.89224381,2840.9,1990,0,6,1,2,town house
129.5269674,42.89128382,4022,1990,0,6,1,2,town house
129.489242,42.905026,22500,2000,0,6,0,2,town house
129.4911218,42.88266549,10700,2011,6,6,0,1,town house
129.5342481,42.91294395,4624.73,2011,6,6,0,1,town house
129.5342887,42.91250222,4622.72,2011,6,6,0,1,town house
129.5330785,42.91192238,10886.26,2011,6,6,0,1,town house
129.5330333,42.91233842,9848.56,2011,6,6,0,1,town house
129.5329622,42.91273769,8958.64,2011,6,6,0,1,town house
129.535518,42.91248685,5544.6,2000,6,6,0,1,town house
129.535569,42.91205028,9834.83,2000,6,6,0,1,town house
129.4814447,42.8890961,4487.04,2000,6,6,0,1,town house
129.4814287,42.88911872,354.68,2000,6,6,0,1,town house
129.4817571,42.88782958,8674.79,2000,6,6,0,1,town house
129.482828,42.8878968,6808.02,2000,6,6,0,1,town house
129.4826332,42.88979189,6801.23,2000,6,6,0,1,town house
129.4826944,42.88903678,7338.65,2000,6,6,0,1,town house
129.4811376,42.88940871,7200,2000,6,6,0,1,town house
129.4813889,42.88973618,7328.5,2000,6,6,0,1,town house
129.4827459,42.88830594,5296.08,2000,6,6,0,1,town house
129.4816959,42.88862989,6708.12,2000,6,6,0,1,town house
129.4817221,42.8882269,8385.45,2000,6,6,0,1,town house
129.4826329,42.88942545,5968.2,2000,6,6,0,1,town house
129.4827301,42.88866558,7319.2,2000,6,6,0,1,town house
129.510941,42.904054,6743,1990,6,6,1,1,town house
129.4979572,42.87853745,7213.5,2000,6,6,0,1,town house
129.4984372,42.87684517,7640.59,2000,6,6,0,1,town house
129.4985444,42.87778192,9139.18,2000,6,6,0,1,town house
129.4986518,42.8792624,7531.86,2000,6,6,0,1,town house
129.4968837,42.87821198,6571.06,2000,6,6,0,1,town house
129.4970611,42.87781985,6791.03,2000,6,6,0,1,town house
129.4986913,42.87696411,2233.29,2000,6,6,0,1,town house
129.4985999,42.87641316,7854.87,2000,6,6,0,1,town house
129.4981727,42.87813776,10143,2000,6,6,0,1,town house
129.4980805,42.87761589,7501.45,2000,6,6,0,1,town house
129.4985013,42.87736208,6935.46,2000,6,6,0,1,town house
129.4982342,42.87723825,7640.59,2000,6,6,0,1,town house
129.4977894,42.87895053,6655.74,2000,6,6,0,1,town house
129.4988344,42.87885039,5708.36,2000,6,6,0,1,town house
129.4987358,42.87688019,741.78,2000,6,6,0,1,town house
129.4877602,42.88974825,1187.44,1990,6,6,3,1,town house
129.4873231,42.8898548,959.51,1990,6,6,1,1,town house
129.4869672,42.88986432,1155.47,1990,6,6,1,1,town house
129.4992273,42.8808468,158.1,2000,6,6,0,1,town house
129.4982728,42.88033554,7387.2,2000,6,6,0,1,town house
129.4985218,42.87998775,5124.6,2000,6,6,0,1,town house
129.4975714,42.87935777,8143.2,2000,6,6,0,1,town house
129.4980591,42.88067028,14976.78,2000,6,6,0,1,town house
129.509352,42.89305255,6631.85,1990,0,6,1,2,town house
129.5096617,42.89224734,11809.62,1990,0,6,1,2,town house
129.5094157,42.89264072,7263.76,1990,0,6,1,2,town house
129.5103004,42.89318449,5323.5,1990,0,6,1,2,town house
129.4970354,42.92708805,6758.94,2000,6,6,0,1,town house
129.4969991,42.92667992,7357.96,2000,6,6,0,1,town house
129.4968331,42.92747181,6755.64,2000,6,6,0,1,town house
129.4968284,42.92788004,7020.24,2000,6,6,0,1,town house
129.4903879,42.87958898,5103,2000,6,6,0,1,town house
129.4886485,42.87951283,5770.24,2000,6,6,0,1,town house
129.4911987,42.87949796,6582.26,2000,6,6,0,1,town house
129.4899137,42.87938517,5762.89,2000,6,6,0,1,town house
129.4997551,42.91567164,41.52,1989,0,6,1,1,town house
129.499857,42.91568116,41.38,1989,0,6,1,1,town house
129.4996409,42.91567164,42.32,1989,0,6,1,1,town house
129.5066634,42.88374593,298.03,1989,0,6,1,1,town house
129.5062239,42.88339305,278.73,1989,0,6,1,1,town house
129.5061527,42.88336808,60,1980,0,6,1,1,town house
129.483307,42.89157731,6032.04,1990,6,6,1,1,town house
129.4857904,42.89079291,4032.92,1990,0,6,1,2,town house
129.4856118,42.89248199,5827.71,1990,0,6,1,2,town house
129.4847805,42.89235095,4618.8,1990,0,6,1,2,town house
129.4849768,42.89076634,4030.92,1990,0,6,1,2,town house
129.4839009,42.89194559,3426.48,1990,0,6,1,2,town house
129.4832206,42.89224445,4218.9,1990,0,6,1,2,town house
129.4848787,42.89180375,4618.8,1990,0,6,1,2,town house
129.4856615,42.89210939,5827.17,1990,0,6,1,2,town house
129.4857694,42.89108009,6171.77,1990,0,6,1,2,town house
129.4838634,42.89229447,3165,1990,0,6,1,2,town house
129.4848225,42.8920303,4618.8,1990,0,6,1,2,town house
129.4832401,42.89190206,4618.8,1990,0,6,1,2,town house
129.4857803,42.89142654,5047.97,1990,0,6,1,2,town house
129.484187,42.89169422,4292.4,1990,0,6,1,2,town house
129.3692561,42.87295623,48,1989,0,6,1,1,town house
129.3692581,42.87303208,280,1989,0,6,1,1,town house
129.3724574,42.87577672,3400,2000,6,6,0,1,town house
129.3733397,42.87632019,3800,2000,6,6,0,1,town house
129.372722,42.87496199,3800,2000,6,6,0,1,town house
129.3721643,42.87509143,3600,2000,6,6,0,1,town house
129.3723109,42.87544169,2500,2000,6,6,0,1,town house
